Song Name,Date,Position
Wake Me Up,12/28/13,7
We Can't Stop,7/6/13,5
We Can't Stop,7/13/13,3
We Can't Stop,7/20/13,3
We Can't Stop,7/27/13,3
We Can't Stop,8/3/13,2
We Can't Stop,8/10/13,3
We Can't Stop,8/17/13,2
We Can't Stop,8/24/13,2
We Can't Stop,8/31/13,3
We Can't Stop,9/7/13,3
We Can't Stop,9/14/13,4
When I Was Your Man,2/23/13,9
When I Was Your Man,3/2/13,8
When I Was Your Man,3/9/13,3
When I Was Your Man,3/16/13,3
When I Was Your Man,3/23/13,3
When I Was Your Man,3/30/13,3
When I Was Your Man,4/6/13,4
When I Was Your Man,4/13/13,2
When I Was Your Man,4/20/13,1
When I Was Your Man,4/27/13,3
When I Was Your Man,5/4/13,4
When I Was Your Man,5/11/13,6
When I Was Your Man,5/18/13,5
When I Was Your Man,5/25/13,4
When I Was Your Man,6/1/13,4
When I Was Your Man,6/8/13,10
Wrecking Ball,9/28/13,1
Wrecking Ball,10/5/13,1
Wrecking Ball,10/12/13,3
Wrecking Ball,10/19/13,3
Wrecking Ball,10/26/13,2
Wrecking Ball,11/2/13,3
Wrecking Ball,11/9/13,3
Wrecking Ball,11/16/13,2
Wrecking Ball,11/23/13,3
Wrecking Ball,11/30/13,3
Wrecking Ball,12/7/13,3
Wrecking Ball,12/14/13,1
Wrecking Ball,12/21/13,5
Wrecking Ball,12/28/13,8
