Focus	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 3
Focus	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Focus	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
FourFiveSeconds	Background Vocals	Chorus 1
FourFiveSeconds	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Bridge 1
FourFiveSeconds	Background Vocals,Pitch-Processed Vocal	Verse 2
FourFiveSeconds	Background Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Verse 3
FourFiveSeconds	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
FourFiveSeconds	Background Vocals	Chorus 2
FourFiveSeconds	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
G.D.F.R.	Background Vocals,Repeat/Call and Response Vocals,Pitch-Processed Vocal	Verse 1
G.D.F.R.	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Bridge 1
G.D.F.R.	Background Vocals,Repeat/Call and Response Vocals	Verse 2
G.D.F.R.	Background Vocals,Repeat/Call and Response Vocals	Chorus 2
G.D.F.R.	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
G.D.F.R.	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Good For You	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Good For You	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 1
Good For You	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Good For You	Background Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Good For You	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Good For You	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Good For You	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
Good For You	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Laugh,Pitch-Processed Vocal	Bridge 2
Happy	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Happy	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Standout Title Vocal	Chorus 1
Happy	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Happy	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Happy	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Happy	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
Happy	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 4
Happy	Background Vocals,Repeat/Call and Response Vocals	Bridge 2
Here	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Here	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Here	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Here	Background Vocals,Creatively Sung Vocals	Bridge 1
Here	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Here	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Here	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Here	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Here	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Hey Mama	Background Vocals,Repeat/Call and Response Vocals	Pre-Chorus 1
Hey Mama	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Honey,I'm Good	Background Vocals	Verse 1
Honey,I'm Good	Background Vocals	Pre-Chorus 1
Honey,I'm Good	Background Vocals,Repeat/Call and Response Vocals	Chorus 1
Honey,I'm Good	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Honey,I'm Good	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Honey,I'm Good	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Honey,I'm Good	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Honey,I'm Good	Background Vocals	Pre-Chorus 2
Honey,I'm Good	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Honey,I'm Good	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Honey,I'm Good	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Honey,I'm Good	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 2
