Song,Artist,Hook Based Intro (All),Instrumental Hook (All),Instrumental Hook (Foundational),Instrumental Hook (Melodic),Instrumental Hook (Hip Hop Beat),Vocal Hook (All),Vocal Hook (Lead Vocal),Vocal Hook (Background/Embellishment),Vocal Hook (Hip Hop Beat)
Sorry Not Sorry,Demi Lovato,X,,,,,X,X,,
"Stay (Alessia Cara, Zedd)","Alessia Cara, Zedd",X,,,,,X,,X,
Strip That Down,Liam Payne featuring Quavo,X,X,X,,,,,,
There's Nothing Holding Me Back,Shawn Mendes,X,X,,X,,,,,
Wild Thoughts,"DJ Khaled featuring Bryson Tiller, Rihanna",X,X,X,,,,,,
All The Stars,"Kendrick Lamar, SZA",X,X,X,,,,,,
Girls Like You,Maroon 5 featuring Cardi B,X,X,X,,,,,,
High Hopes,Panic! at the Disco,X,X,X,,,,,,
Love Lies,"Khalid, Normani",X,X,X,,,,,,
Say Something (Timberlake & Stapleton),Justin Timberlake featuring Chris Stapleton,X,,,,,X,,X,
Shallow,"Bradley Cooper, Lady Gaga",X,X,X,,,,,,
Sunflower (Spider-Man: Into The Spider-Verse),"Post Malone, Swae Lee",X,X,X,,,,,,
"Thank U, Next",Ariana Grande,X,X,X,,,,,,
The Middle,"Maren Morris, Zedd, Grey",X,X,X,,,,,,
Without Me,Halsey,X,X,X,,,,,,
7 Rings,Ariana Grande,X,X,,,X,,,,
Bad Guy,Billie Eilish,X,X,X,,,,,,
Better,Khalid,X,,,,,X,X,,
Boy With Luv,BTS featuring Halsey,X,X,X,,,X,X,,
Boyfriend,"Ariana Grande, Social House",X,X,X,,,,,,
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,X,X,,,X,,,,
Circles,Post Malone,X,X,X,X,,X,X,,
Eastside,"Benny Blanco, Halsey, Khalid",X,X,X,,,,,,
everything i wanted,Billie Eilish,X,X,X,,,,,,
I Don't Care,"Ed Sheeran, Justin Bieber",X,X,,X,,,,,
ME!,Taylor Swift featuring Brendon Urie,X,,,,,X,X,,
Memories,Maroon 5,X,X,X,,,,,,
No Guidance,Chris Brown featuring Drake,X,,,,,X,,X,
Senorita,"Camila Cabello, Shawn Mendes",X,X,X,X,,,,,
Take What You Want,"Post Malone featuring Ozzy Osbourne, Travis Scott",X,X,X,,,,,,
Talk,Khalid,X,X,X,,,,,,
You Need To Calm Down,Taylor Swift,X,X,X,,,,,,
Don't Start Now,Dua Lipa,X,,,,,X,X,,
Baby Pluto,Lil Uzi Vert,X,X,,,X,,,,
Blinding Lights,The Weeknd,X,X,,X,,,,,
Intentions,Justin Bieber,X,X,X,,,,,,
ON,BTS,X,X,,X,,X,,X,
Silly Watch,Lil Uzi Vert,X,X,,,X,,,,
Stupid Love,Lady Gaga,X,,,,,X,,X,
